<<<<<<< HEAD
city,place_type,location,date_time,temp_celsius,rain_1h,clouds_all,day,hour,month,dayofweek,event_density,footfall
Kanchipuram,stadium,Stadium near Kanchipuram,2024-07-09 13:00:00,24.5,16.71,18,9,13,7,1,0.0,580
Salem,bus_stop,Bus_Stop near Salem,2024-05-01 03:00:00,28.8,2.68,53,1,3,5,2,0.5,4899
Tirunelveli,mall,Mall near Tirunelveli,2024-11-14 18:00:00,31.4,0.95,57,14,18,11,3,0.0,3785
Chennai,hospital,Hospital near Chennai,2024-03-08 20:00:00,22.1,0.79,64,8,20,3,4,0.0,769
Kanchipuram,college,College near Kanchipuram,2024-05-15 20:00:00,31.9,0.4,51,15,20,5,2,0.0,1290
Coimbatore,stadium,Stadium near Coimbatore,2024-09-10 07:00:00,35.2,2.72,33,10,7,9,1,0.0,568
Dindigul,stadium,Stadium near Dindigul,2024-09-29 18:00:00,28.7,1.91,63,29,18,9,6,0.0,1681
Salem,mall,Mall near Salem,2024-03-06 06:00:00,32.2,2.02,45,6,6,3,2,0.0,1789
Cuddalore,theater,Theater near Cuddalore,2024-08-19 00:00:00,28.8,0.03,0,19,0,8,0,0.0,300
Tiruchirappalli,tourist_spot,Tourist_Spot near Tiruchirappalli,2024-09-21 12:00:00,32.5,3.94,34,21,12,9,5,0.5,3039
Coimbatore,park,Park near Coimbatore,2024-05-20 11:00:00,25.6,0.16,41,20,11,5,0,0.0,545
Vellore,mall,Mall near Vellore,2024-01-16 11:00:00,34.2,1.59,17,16,11,1,1,0.0,1437
Tiruchirappalli,theater,Theater near Tiruchirappalli,2024-09-07 06:00:00,30.7,4.08,18,7,6,9,5,0.0,289
Tiruchirappalli,metro_station,Metro_Station near Tiruchirappalli,2024-06-07 07:00:00,26.3,1.15,85,7,7,6,4,0.0,4687
Cuddalore,railway_station,Railway_Station near Cuddalore,2024-09-28 07:00:00,20.4,4.88,78,28,7,9,5,0.2,7389
Pollachi,park,Park near Pollachi,2024-06-25 12:00:00,34.3,4.69,38,25,12,6,1,0.0,616
Thoothukudi,railway_station,Railway_Station near Thoothukudi,2024-12-18 17:00:00,37.1,1.23,26,18,17,12,2,0.0,4411
Thoothukudi,temple,Temple near Thoothukudi,2024-06-15 06:00:00,26.4,5.18,51,15,6,6,5,0.0,3145
Nagercoil,theater,Theater near Nagercoil,2024-12-19 22:00:00,27.6,2.99,81,19,22,12,3,0.0,682
Thoothukudi,tourist_spot,Tourist_Spot near Thoothukudi,2024-07-31 05:00:00,29.0,4.83,14,31,5,7,2,0.0,1250
Cuddalore,park,Park near Cuddalore,2024-01-06 09:00:00,23.1,3.04,70,6,9,1,5,0.0,560
Nagercoil,stadium,Stadium near Nagercoil,2024-07-25 08:00:00,34.6,1.94,71,25,8,7,3,0.0,510
Karur,college,College near Karur,2024-03-24 03:00:00,28.7,0.91,83,24,3,3,6,0.0,361
Kanyakumari,temple,Temple near Kanyakumari,2024-06-12 14:00:00,36.4,7.15,70,12,14,6,2,0.0,1736
Vellore,metro_station,Metro_Station near Vellore,2024-09-03 01:00:00,28.3,2.56,16,3,1,9,1,0.0,3434
Madurai,railway_station,Railway_Station near Madurai,2024-02-12 19:00:00,19.0,0.25,3,12,19,2,0,0.0,5405
Pollachi,railway_station,Railway_Station near Pollachi,2024-05-26 04:00:00,27.1,0.15,84,26,4,5,6,0.0,2252
Vellore,tourist_spot,Tourist_Spot near Vellore,2024-06-28 04:00:00,27.2,0.5,77,28,4,6,4,0.0,1057
Chennai,mall,Mall near Chennai,2024-11-13 09:00:00,34.1,2.02,24,13,9,11,2,0.0,1376
Pollachi,mall,Mall near Pollachi,2024-01-11 12:00:00,22.6,1.05,54,11,12,1,3,0.0,1925
Erode,park,Park near Erode,2024-11-20 09:00:00,26.9,1.88,28,20,9,11,2,0.0,554
Salem,temple,Temple near Salem,2024-11-25 09:00:00,31.5,0.73,3,25,9,11,0,0.0,2880
Salem,theater,Theater near Salem,2024-09-05 09:00:00,21.3,3.33,16,5,9,9,3,0.0,327
Thoothukudi,railway_station,Railway_Station near Thoothukudi,2024-07-07 12:00:00,27.1,16.4,84,7,12,7,6,0.0,3220
Cuddalore,stadium,Stadium near Cuddalore,2024-06-07 11:00:00,23.2,0.53,59,7,11,6,4,1.0,1143
Cuddalore,hospital,Hospital near Cuddalore,2024-09-07 16:00:00,27.8,2.34,23,7,16,9,5,0.0,629
Nagercoil,mall,Mall near Nagercoil,2024-09-02 03:00:00,26.1,5.24,85,2,3,9,0,0.2,2043
Erode,park,Park near Erode,2024-12-28 16:00:00,28.5,2.31,33,28,16,12,5,0.0,958
Salem,railway_station,Railway_Station near Salem,2024-06-20 04:00:00,35.7,2.15,63,20,4,6,3,0.0,2743
Tirunelveli,park,Park near Tirunelveli,2024-03-27 22:00:00,25.4,1.69,15,27,22,3,2,0.2,711
Dindigul,stadium,Stadium near Dindigul,2024-06-05 02:00:00,22.6,6.43,26,5,2,6,2,0.0,473
Cuddalore,metro_station,Metro_Station near Cuddalore,2024-08-19 05:00:00,24.2,4.99,34,19,5,8,0,0.0,2646
Pollachi,park,Park near Pollachi,2024-07-28 21:00:00,31.3,0.58,82,28,21,7,6,0.0,527
